property,canceled,advance_time,arrival_year,arrival_month,arrival_week_number,arrival_day_of_month,weekend_stays,week_stays,num_adults,num_children,meal_package,booking_channel,is_returning,num_cancellations,num_not_canceled,reserved_room_code,assigned_room_code,num_changes,deposit_terms,wait_days,average_daily_rate,status,status_date
City Hotel,0,349,2016,October,41,4,1,5,2,0.0,BB,Offline TA/TO,0,0,0,A,A,0,No Deposit,162,123.33,Check-Out,2016-10-10
City Hotel,0,47,2016,February,8,18,0,3,2,0.0,BB,Online TA,0,0,0,D,D,0,No Deposit,0,90.3,Check-Out,2016-02-21
City Hotel,0,237,2015,September,38,14,1,2,1,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,80.75,Check-Out,2015-09-17
City Hotel,0,31,2016,September,40,27,0,1,2,0.0,BB,Online TA,0,0,0,A,D,0,No Deposit,0,126.0,Check-Out,2016-09-28
City Hotel,0,158,2016,July,27,1,1,2,2,2.0,BB,Online TA,0,0,0,F,F,0,No Deposit,0,168.3,Check-Out,2016-07-04
City Hotel,0,25,2016,December,51,13,0,4,1,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,79.9,Check-Out,2016-12-17
City Hotel,0,386,2016,October,44,23,2,0,2,0.0,HB,Offline TA/TO,0,0,0,A,A,0,No Deposit,0,115.0,Check-Out,2016-10-25
Resort Hotel,0,10,2016,September,38,13,0,2,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,109.0,Check-Out,2016-09-15
City Hotel,0,76,2016,March,13,20,2,3,2,0.0,BB,Online TA,0,0,0,D,D,1,No Deposit,0,110.15,Check-Out,2016-03-25
City Hotel,0,42,2017,April,16,21,1,2,2,0.0,BB,Online TA,0,0,0,D,D,0,No Deposit,0,156.67,Check-Out,2017-04-24
Resort Hotel,1,210,2016,August,35,22,3,8,2,0.0,HB,Online TA,0,0,0,E,E,0,No Deposit,0,192.73,Canceled,2016-02-15
City Hotel,0,4,2016,June,27,26,2,0,1,0.0,SC,Online TA,0,0,0,A,A,0,No Deposit,0,113.0,Check-Out,2016-06-28
City Hotel,0,33,2016,May,23,29,2,1,2,0.0,BB,Offline TA/TO,0,0,0,A,A,0,No Deposit,0,85.5,Check-Out,2016-06-01
City Hotel,0,7,2016,December,51,17,1,1,2,0.0,SC,Online TA,0,0,0,A,A,0,No Deposit,0,78.0,Check-Out,2016-12-19
City Hotel,0,21,2015,December,51,17,0,2,1,0.0,BB,Corporate,0,0,0,A,A,0,No Deposit,0,65.0,Check-Out,2015-12-19
City Hotel,1,160,2015,December,53,30,0,3,2,0.0,BB,Offline TA/TO,0,0,0,A,A,0,No Deposit,111,70.0,Canceled,2015-12-23
Resort Hotel,0,28,2016,May,21,19,2,5,3,0.0,BB,Offline TA/TO,0,0,0,A,A,0,No Deposit,0,79.9,Check-Out,2016-05-26
City Hotel,1,274,2015,July,29,18,2,2,2,0.0,BB,Groups,0,1,0,A,A,0,No Deposit,0,62.0,Canceled,2015-07-06
City Hotel,1,155,2017,July,29,17,1,1,2,0.0,SC,Online TA,0,0,0,A,A,0,No Deposit,0,89.1,Canceled,2017-03-08
Resort Hotel,1,48,2016,September,40,30,2,3,2,0.0,BB,Online TA,0,0,0,E,E,0,No Deposit,0,107.0,Canceled,2016-08-14
Resort Hotel,0,25,2016,January,3,14,0,2,2,2.0,BB,Online TA,0,0,0,G,G,0,No Deposit,0,79.0,Check-Out,2016-01-16
Resort Hotel,0,154,2016,July,29,11,1,2,2,0.0,BB,Offline TA/TO,0,0,0,A,B,0,No Deposit,0,64.8,Check-Out,2016-07-14
City Hotel,1,1,2015,December,53,29,0,4,2,0.0,BB,Groups,0,0,0,B,B,2,No Deposit,0,72.5,Canceled,2015-12-29
City Hotel,1,364,2015,October,42,16,0,2,2,0.0,HB,Offline TA/TO,0,1,0,A,A,0,Non Refund,0,101.5,Canceled,2015-07-06
City Hotel,0,18,2016,December,51,11,1,0,2,0.0,BB,Offline TA/TO,0,0,0,A,A,0,No Deposit,0,80.0,Check-Out,2016-12-12
City Hotel,1,21,2017,January,1,2,1,3,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,90.1,Canceled,2016-12-16
City Hotel,1,15,2017,February,7,17,0,2,2,0.0,BB,Offline TA/TO,0,0,0,A,A,0,Non Refund,0,95.0,Canceled,2017-02-02
City Hotel,0,22,2017,March,11,16,2,5,2,0.0,BB,Offline TA/TO,0,0,0,A,A,0,No Deposit,0,68.0,Check-Out,2017-03-23
Resort Hotel,1,80,2017,August,34,26,2,2,2,0.0,BB,Offline TA/TO,0,0,0,D,D,0,No Deposit,0,135.0,Canceled,2017-07-15
City Hotel,1,25,2015,December,50,8,0,2,1,0.0,BB,Offline TA/TO,0,1,0,A,A,0,Non Refund,0,90.0,Canceled,2015-11-17
Resort Hotel,0,164,2015,November,46,9,2,5,2,0.0,HB,Online TA,0,0,0,A,D,0,No Deposit,0,61.2,Check-Out,2015-11-16
City Hotel,0,69,2016,May,20,14,2,1,3,0.0,BB,Online TA,0,0,0,A,D,0,No Deposit,0,159.3,Check-Out,2016-05-17
Resort Hotel,0,3,2016,May,21,20,0,2,2,0.0,BB,Online TA,0,0,0,A,F,0,No Deposit,0,89.0,Check-Out,2016-05-22
Resort Hotel,1,206,2016,March,13,21,2,5,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,42.69,Canceled,2015-08-31
City Hotel,1,157,2017,May,18,1,1,3,2,0.0,BB,Groups,0,0,0,A,A,0,Non Refund,0,130.0,Canceled,2016-11-25
City Hotel,0,30,2016,May,21,21,2,2,2,1.0,BB,Online TA,0,0,0,A,B,0,No Deposit,0,133.58,Check-Out,2016-05-25
City Hotel,0,1,2017,May,19,9,0,1,1,0.0,SC,Online TA,0,0,0,A,A,0,No Deposit,0,95.0,Check-Out,2017-05-10
Resort Hotel,0,32,2016,April,17,19,2,5,2,0.0,HB,Groups,0,0,0,D,D,0,No Deposit,0,38.22,Check-Out,2016-04-26
Resort Hotel,0,53,2016,June,24,7,0,2,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,129.0,Check-Out,2016-06-09
Resort Hotel,1,246,2015,September,36,5,2,5,2,0.0,BB,Offline TA/TO,0,1,0,A,A,0,No Deposit,0,58.95,Canceled,2015-06-17
City Hotel,1,304,2016,November,45,3,0,3,2,0.0,BB,Offline TA/TO,0,0,0,A,A,0,Non Refund,0,89.0,Canceled,2016-02-01
City Hotel,0,127,2017,July,30,25,0,3,2,0.0,BB,Offline TA/TO,0,0,0,D,D,0,No Deposit,0,98.1,Check-Out,2017-07-28
Resort Hotel,0,0,2017,January,3,17,0,1,1,0.0,BB,Direct,1,0,1,A,A,0,No Deposit,0,57.0,Check-Out,2017-01-18
City Hotel,1,113,2016,September,37,7,1,4,2,0.0,BB,Offline TA/TO,0,0,0,A,A,0,No Deposit,0,118.8,Canceled,2016-05-23
City Hotel,0,272,2017,July,28,12,0,3,2,2.0,BB,Online TA,0,0,0,F,F,3,No Deposit,0,179.1,Check-Out,2017-07-15
City Hotel,1,11,2016,November,45,5,0,1,2,1.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,150.0,Canceled,2016-10-28
City Hotel,1,98,2015,November,48,23,1,2,1,0.0,BB,Groups,0,0,0,A,A,0,No Deposit,0,70.0,No-Show,2015-11-23
City Hotel,1,292,2015,August,32,5,0,2,2,0.0,BB,Groups,0,1,0,A,A,0,Non Refund,0,62.0,Canceled,2015-07-02
City Hotel,0,16,2016,December,50,4,2,0,2,1.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,118.8,Check-Out,2016-12-06
City Hotel,0,70,2016,April,17,22,2,2,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,97.33,Check-Out,2016-04-26
Resort Hotel,1,49,2015,July,30,20,3,6,2,0.0,FB,Offline TA/TO,0,0,0,D,D,0,No Deposit,0,111.2,Canceled,2015-06-01
City Hotel,1,379,2015,October,44,31,1,1,2,0.0,BB,Groups,0,1,0,A,A,0,Non Refund,0,62.0,Canceled,2015-07-23
Resort Hotel,1,289,2017,July,30,25,0,4,2,1.0,BB,Online TA,0,0,0,E,E,0,No Deposit,0,172.8,Canceled,2017-04-19
Resort Hotel,1,108,2016,April,18,29,2,2,2,0.0,HB,Groups,0,0,0,A,A,0,Non Refund,0,84.0,Canceled,2016-02-12
Resort Hotel,0,128,2016,December,50,8,0,3,2,0.0,BB,Online TA,0,0,0,D,D,0,No Deposit,0,36.04,Check-Out,2016-12-11
Resort Hotel,0,18,2016,April,15,9,2,3,1,0.0,BB,Offline TA/TO,0,0,0,A,A,0,No Deposit,0,33.3,Check-Out,2016-04-14
Resort Hotel,1,46,2017,August,32,12,2,5,2,0.0,BB,Offline TA/TO,0,0,0,A,A,0,No Deposit,0,212.0,Canceled,2017-07-12
City Hotel,0,4,2015,August,33,11,0,5,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,90.0,Check-Out,2015-08-16
City Hotel,1,332,2017,April,16,22,1,1,2,1.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,125.1,Canceled,2016-06-07
City Hotel,0,28,2017,February,7,13,1,2,2,0.0,BB,Offline TA/TO,0,0,0,A,D,0,No Deposit,0,75.0,Check-Out,2017-02-16
Resort Hotel,0,1,2015,October,42,13,0,1,2,0.0,BB,Online TA,0,0,0,D,D,1,No Deposit,0,66.0,Check-Out,2015-10-14
City Hotel,0,53,2015,October,41,9,1,2,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,94.5,Check-Out,2015-10-12
Resort Hotel,1,260,2015,December,52,20,4,9,1,0.0,BB,Online TA,0,0,0,D,D,0,No Deposit,0,47.54,Canceled,2015-08-24
Resort Hotel,0,166,2016,August,35,27,2,2,1,0.0,BB,Offline TA/TO,0,0,0,A,A,0,No Deposit,0,100.8,Check-Out,2016-08-31
City Hotel,0,76,2017,July,29,16,2,3,2,0.0,BB,Direct,0,0,0,A,A,0,No Deposit,0,108.0,Check-Out,2017-07-21
City Hotel,0,1,2015,August,33,9,1,0,2,2.0,BB,Online TA,0,0,0,F,F,0,No Deposit,0,153.0,Check-Out,2015-08-10
City Hotel,0,172,2017,April,15,13,0,3,2,1.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,153.0,Check-Out,2017-04-16
City Hotel,0,2,2016,March,13,20,2,4,2,0.0,BB,Offline TA/TO,0,0,0,A,A,0,No Deposit,0,85.0,Check-Out,2016-03-26
Resort Hotel,0,4,2017,June,23,6,0,3,1,0.0,BB,Offline TA/TO,1,0,3,A,A,0,No Deposit,0,108.0,Check-Out,2017-06-09
City Hotel,0,175,2017,August,35,31,1,3,2,0.0,BB,Offline TA/TO,0,0,0,A,A,1,No Deposit,0,86.85,Check-Out,2017-09-04
City Hotel,1,97,2015,October,41,5,1,3,1,0.0,BB,Groups,0,0,0,A,A,0,Non Refund,0,140.0,Canceled,2015-07-03
Resort Hotel,0,2,2015,October,41,9,0,1,1,0.0,BB,Groups,0,0,1,A,D,0,No Deposit,0,48.0,Check-Out,2015-10-10
Resort Hotel,0,8,2015,July,28,7,0,4,3,2.0,BB,Online TA,0,0,0,H,H,2,No Deposit,0,193.0,Check-Out,2015-07-11
Resort Hotel,1,468,2016,May,20,12,0,2,2,0.0,HB,Groups,0,1,0,A,A,0,No Deposit,0,67.0,Canceled,2015-07-30
Resort Hotel,0,36,2016,June,24,9,0,3,2,1.0,BB,Online TA,0,0,0,F,G,0,No Deposit,0,153.03,Check-Out,2016-06-12
City Hotel,1,262,2015,November,46,9,1,2,2,0.0,BB,Groups,0,1,0,A,A,0,Non Refund,0,62.8,Canceled,2015-09-04
City Hotel,1,91,2016,March,12,18,0,2,1,0.0,BB,Groups,0,0,0,A,A,0,Non Refund,20,75.0,Canceled,2016-02-03
City Hotel,0,50,2016,April,16,12,0,3,2,1.0,HB,Online TA,0,0,0,A,D,0,No Deposit,0,164.25,Check-Out,2016-04-15
City Hotel,0,32,2016,October,43,22,2,5,2,0.0,BB,Direct,0,0,0,A,A,0,No Deposit,0,118.0,Check-Out,2016-10-29
City Hotel,1,19,2015,October,41,6,0,3,1,0.0,BB,Offline TA/TO,1,1,0,A,A,0,Non Refund,0,80.0,Canceled,2015-09-17
City Hotel,0,61,2016,April,18,30,1,1,2,0.0,BB,Offline TA/TO,0,0,0,A,B,1,No Deposit,0,89.75,Check-Out,2016-05-02
City Hotel,0,297,2017,July,29,21,2,2,2,1.0,BB,Direct,0,0,0,A,A,1,No Deposit,0,102.1,Check-Out,2017-07-25
City Hotel,0,131,2017,June,23,8,0,3,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,144.0,Check-Out,2017-06-11
Resort Hotel,0,228,2016,September,37,5,6,15,2,0.0,HB,Direct,0,0,1,D,D,0,No Deposit,0,88.0,Check-Out,2016-09-26
City Hotel,1,330,2016,June,23,2,0,2,2,0.0,BB,Groups,0,0,0,A,A,0,Non Refund,0,62.0,Canceled,2015-10-21
City Hotel,1,53,2016,May,21,18,0,2,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,126.9,Canceled,2016-03-28
City Hotel,0,144,2016,June,27,26,2,0,2,0.0,SC,Online TA,0,0,0,A,A,0,No Deposit,0,85.5,Check-Out,2016-06-28
Resort Hotel,0,36,2015,December,53,27,2,0,2,0.0,HB,Offline TA/TO,0,0,0,A,D,1,No Deposit,0,55.4,Check-Out,2015-12-29
City Hotel,1,313,2017,April,17,29,2,1,2,0.0,BB,Offline TA/TO,0,0,0,A,A,0,Non Refund,0,90.0,Canceled,2017-02-23
Resort Hotel,1,32,2016,April,17,19,2,5,2,0.0,HB,Groups,0,0,0,D,D,0,No Deposit,0,69.36,Canceled,2016-03-18
City Hotel,1,524,2016,December,51,15,0,2,2,0.0,BB,Groups,0,0,0,A,A,0,Non Refund,0,62.8,Canceled,2015-10-21
City Hotel,1,56,2017,March,12,21,0,3,2,0.0,BB,Offline TA/TO,0,0,0,A,A,0,Non Refund,0,85.0,Canceled,2017-01-24
City Hotel,1,138,2016,August,34,18,0,2,3,0.0,BB,Online TA,0,0,0,D,D,0,No Deposit,0,142.2,Canceled,2016-08-18
City Hotel,0,156,2016,August,35,21,2,1,2,0.0,SC,Online TA,0,0,0,A,A,0,No Deposit,0,103.5,Check-Out,2016-08-24
City Hotel,0,164,2015,October,40,2,0,2,1,0.0,BB,Offline TA/TO,0,0,0,A,A,0,No Deposit,0,100.0,Check-Out,2015-10-04
Resort Hotel,0,8,2015,November,48,25,0,1,1,0.0,BB,Corporate,0,0,7,A,D,0,No Deposit,0,35.0,Check-Out,2015-11-26
Resort Hotel,0,2,2016,November,47,18,0,2,2,0.0,HB,Direct,0,0,0,A,D,0,No Deposit,0,73.8,Check-Out,2016-11-20
City Hotel,1,391,2016,July,31,27,0,2,2,0.0,BB,Groups,0,0,0,A,A,0,Non Refund,0,65.0,Canceled,2015-12-09
City Hotel,0,66,2016,November,48,24,0,3,2,0.0,BB,Offline TA/TO,0,0,0,A,D,0,No Deposit,0,75.0,Check-Out,2016-11-27
City Hotel,0,256,2016,August,36,31,0,4,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,90.95,Check-Out,2016-09-04
City Hotel,1,94,2016,August,35,23,0,2,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,117.9,Canceled,2016-05-22
Resort Hotel,0,94,2017,February,7,13,1,3,3,0.0,HB,Groups,0,0,0,A,A,1,No Deposit,0,88.0,Check-Out,2017-02-17
City Hotel,1,97,2015,October,41,5,1,3,1,0.0,BB,Groups,0,0,0,A,A,0,Non Refund,0,140.0,Canceled,2015-07-03
City Hotel,0,56,2016,March,10,3,1,3,2,0.0,BB,Groups,0,0,0,A,A,0,No Deposit,0,72.0,Check-Out,2016-03-07
City Hotel,1,191,2017,April,14,6,2,3,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,88.4,Canceled,2016-09-28
Resort Hotel,1,9,2016,July,27,1,0,2,2,0.0,BB,Online TA,0,0,0,F,F,0,No Deposit,0,169.0,No-Show,2016-07-01
City Hotel,0,81,2016,October,45,30,2,1,2,0.0,BB,Direct,0,0,0,A,A,0,No Deposit,0,79.8,Check-Out,2016-11-02
City Hotel,1,150,2016,January,4,18,1,4,1,0.0,BB,Offline TA/TO,0,0,0,A,A,1,No Deposit,63,80.0,Canceled,2015-12-14
Resort Hotel,0,210,2017,August,33,19,2,5,3,0.0,HB,Offline TA/TO,0,0,0,A,A,0,No Deposit,0,187.24,Check-Out,2017-08-26
City Hotel,0,448,2017,June,24,17,2,1,2,0.0,BB,Groups,0,0,0,A,A,0,No Deposit,0,112.67,Check-Out,2017-06-20
City Hotel,0,152,2016,July,29,10,2,2,2,0.0,BB,Online TA,0,0,0,D,D,3,No Deposit,0,134.3,Check-Out,2016-07-14
City Hotel,0,14,2015,September,36,4,2,2,2,0.0,HB,Online TA,0,0,0,A,B,0,No Deposit,0,113.0,Check-Out,2015-09-08
City Hotel,1,135,2017,April,16,21,1,2,2,0.0,BB,Groups,0,0,0,A,A,0,Non Refund,0,90.0,Canceled,2016-12-07
City Hotel,0,36,2016,September,40,28,0,3,2,0.0,BB,Groups,0,0,0,A,B,0,No Deposit,0,87.0,Check-Out,2016-10-01
City Hotel,0,70,2016,January,5,27,2,5,2,0.0,BB,Offline TA/TO,0,0,0,D,D,0,No Deposit,0,52.0,Check-Out,2016-02-03
Resort Hotel,0,236,2016,May,20,12,0,3,2,0.0,BB,Groups,0,0,0,A,I,0,No Deposit,0,54.0,Check-Out,2016-05-15
City Hotel,0,1,2017,February,5,3,1,2,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,117.0,Check-Out,2017-02-06
City Hotel,1,316,2017,May,19,10,0,2,2,0.0,BB,Online TA,0,0,0,D,D,0,No Deposit,0,123.3,Canceled,2017-01-09
City Hotel,0,200,2015,October,40,2,1,2,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,89.25,Check-Out,2015-10-05
City Hotel,1,277,2016,November,46,7,1,2,2,0.0,BB,Groups,0,0,0,A,A,0,Non Refund,0,100.0,Canceled,2016-04-04
City Hotel,0,2,2015,August,33,9,1,0,2,0.0,BB,Direct,0,0,0,E,E,0,No Deposit,0,67.5,Check-Out,2015-08-10
Resort Hotel,0,242,2017,May,18,1,4,10,2,0.0,HB,Offline TA/TO,0,0,0,E,E,0,No Deposit,0,84.15,Check-Out,2017-05-15
City Hotel,0,4,2016,February,7,7,2,2,1,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,76.22,Check-Out,2016-02-11
City Hotel,1,56,2016,June,24,8,0,1,2,0.0,BB,Offline TA/TO,0,0,0,A,A,0,No Deposit,0,120.0,Canceled,2016-06-02
City Hotel,1,253,2016,September,40,26,1,2,1,0.0,BB,Online TA,0,0,0,A,A,1,No Deposit,0,2.0,Canceled,2016-01-18
City Hotel,1,357,2017,May,21,24,0,2,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,109.8,Canceled,2017-05-10
City Hotel,1,118,2017,June,23,10,0,1,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,160.0,Canceled,2017-04-26
Resort Hotel,0,170,2017,July,29,16,5,10,2,0.0,HB,Offline TA/TO,0,0,0,E,E,0,No Deposit,0,163.8,Check-Out,2017-07-31
Resort Hotel,0,207,2016,October,41,4,1,5,2,0.0,HB,Offline TA/TO,0,0,0,A,A,1,No Deposit,0,70.0,Check-Out,2016-10-10
City Hotel,1,87,2017,April,15,15,2,2,2,0.0,BB,Groups,0,0,0,A,A,0,Non Refund,0,95.0,Canceled,2017-01-18
City Hotel,1,37,2017,March,11,15,0,2,2,0.0,BB,Groups,0,0,0,A,A,0,Non Refund,0,110.0,Canceled,2017-02-06
City Hotel,0,110,2017,April,15,10,1,2,2,0.0,SC,Online TA,0,0,0,A,A,0,No Deposit,0,99.0,Check-Out,2017-04-13
Resort Hotel,0,0,2015,November,45,4,0,2,1,0.0,BB,Online TA,0,0,0,A,A,1,No Deposit,0,44.1,Check-Out,2015-11-06
City Hotel,1,74,2015,September,38,18,0,2,2,0.0,HB,Offline TA/TO,0,0,0,A,A,0,Non Refund,0,101.5,Canceled,2015-07-06
Resort Hotel,0,143,2017,March,10,5,2,5,2,0.0,HB,Offline TA/TO,0,0,0,D,E,0,No Deposit,0,52.4,Check-Out,2017-03-12
City Hotel,0,2,2015,December,50,11,0,1,2,0.0,SC,Online TA,0,0,0,A,A,0,No Deposit,0,94.0,Check-Out,2015-12-12
City Hotel,1,344,2016,June,25,16,0,2,2,0.0,BB,Groups,0,0,0,A,A,0,Non Refund,0,62.0,Canceled,2015-10-21
City Hotel,1,43,2016,November,49,29,4,11,1,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,74.8,Canceled,2016-11-14
City Hotel,0,100,2017,August,31,1,2,5,2,0.0,SC,Online TA,0,0,0,A,A,0,No Deposit,0,125.0,Check-Out,2017-08-08
City Hotel,1,92,2015,July,27,1,2,4,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,76.5,Canceled,2015-06-23
City Hotel,1,215,2017,April,15,14,2,2,2,0.0,SC,Online TA,0,0,0,A,A,0,No Deposit,0,110.0,Canceled,2016-10-31
Resort Hotel,1,208,2016,April,17,19,2,5,2,0.0,HB,Groups,0,0,0,E,E,0,Non Refund,0,60.3,Canceled,2016-03-18
City Hotel,0,158,2017,March,13,27,1,1,2,0.0,BB,Groups,0,0,0,A,D,0,No Deposit,0,95.0,Check-Out,2017-03-29
Resort Hotel,1,78,2015,October,41,9,1,2,2,0.0,FB,Groups,0,0,0,A,A,0,Non Refund,0,92.0,Canceled,2015-08-14
Resort Hotel,0,49,2015,July,31,27,1,5,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,118.17,Check-Out,2015-08-02
Resort Hotel,0,0,2017,February,7,17,1,2,2,0.0,BB,Direct,0,0,0,E,E,0,No Deposit,0,76.0,Check-Out,2017-02-20
City Hotel,0,133,2017,July,27,7,1,2,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,107.1,Check-Out,2017-07-10
City Hotel,1,80,2017,January,3,20,0,2,2,0.0,BB,Online TA,0,0,0,A,A,0,No Deposit,0,93.6,Canceled,2017-01-04
Resort Hotel,1,199,2016,May,19,2,1,1,2,0.0,HB,Groups,0,0,0,A,A,0,No Deposit,0,85.0,Canceled,2016-04-18
Resort Hotel,1,40,2016,July,30,22,2,4,2,0.0,BB,Online TA,0,0,0,D,D,0,No Deposit,0,194.0,Canceled,2016-06-12
City Hotel,1,2,2016,November,45,2,0,2,1,0.0,BB,Aviation,0,0,0,D,D,0,No Deposit,0,94.0,Canceled,2016-11-02
